id,parent_id,name,description,type,plan_year,group,division,start_date,end_date,ee_premium,ef_premium,es_premium,ec_premium,carrier,overall_limit,overall_limit_unit,service,reimbursement,limit,limit_unit,preexisting_conditions_limitation,months_pre_coverage,months_post_coverage
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,ruptured disc,1000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,knee cartilage surgical repair,1000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,tendon/ligament and rotator cuff surgical repair,1000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,eye injury,400,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,ground ambulance,600,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,air ambulance,2500,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,emergency room,150,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,emergency treatment in urgent care,100,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,hospital admission,1500,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,hospital stay,400,365,days,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,icu admission,2250,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,icu stay,600,15,days,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,medical imaging,400,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,outpatient surgery,500,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,pain management,150,1,accident,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,open abdominal thoracic surgery,2000,,,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,physician followup visit,100,2,visits,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,calendar_year,chiropractic visit,35,3,visits,TRUE,12,12
SP1037,SP1037,Unum Accident,Unum Accident Coverage,accident,2020,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,1,accident,therapy visit,35,10,visits,TRUE,12,12
SP1038,SP1038,Aflac Silver,Alflac Hospital Benefit (Silver),accident,2021,acme,corporate,1/1/20,12/31/20,22.46,56.54,38.28,40.72,Unum,,,prosthetic device,1000,,,TRUE,12,12
